Customer ID,Customer Type,Account Type,Customer Region,Customer Loyalty Tier,Dispute ID,Dispute Type,Dispute Date,Dispute Resolution Time,Dispute Status,Dispute Priority,Transaction ID,Transaction Date,Transaction Amount,Transaction Type,Merchant ID,Transaction Location,Action Taken,Resolution Outcome,Resolution Time,Dispute Resolution Method,Customer Satisfaction Score,Feedback Comments,Communication Channels Used
CUS4823,New,Checking,Georgia,Silver,PIJDMT6,Service Issue,2024-04-06,3,Under Investigation,Low,21914045,2024-07-16,724.07,Online Purchase,H8YO6O,Illinois,Issue Fixed,Resolved in Favor of Bank,16,Human Intervention,1,Very Dissatisfied,Social Media
CUS1375,Existing,Savings,Florida,Silver,T75GRYY,Account Lock,2024-09-25,7,Pending,High,26544184,2024-05-05,2354.31,Withdrawal,HC2ERC,California,Investigation Started,Resolved in Favor of Customer,14,AI,1,Will Recommend,Phone
CUS2001,Existing,Checking,Texas,Platinum,J0E9RYA,Billing Error,2024-09-17,8,Under Investigation,Medium,23084606,2024-10-11,51.54,Withdrawal,AET03G,Washington,Investigation Started,Resolved in Favor of Bank,21,AI,1,Neutral,In-Person
CUS7425,New,Savings,Florida,Platinum,MRWDLY1,Fraud,2024-01-10,4,Pending,Low,75174065,2024-01-04,2219.76,Withdrawal,AEMMMY,New York,Investigation Started,Customer Compensation,26,AI,1,Could Be Better,In-Person
CUS2297,Existing,Savings,New York,Gold,IDERU57,Service Issue,2024-04-06,2,Under Investigation,High,46398673,2024-09-07,2504.35,Cashback,IA01MF,Ohio,Issue Fixed,Resolved in Favor of Bank,24,Human Intervention,5,Very Satisfied,Online Chat
CUS3034,Existing,Savings,Texas,Platinum,IFAG60I,Service Issue,2024-12-18,13,Resolved,Low,19666353,2024-06-07,2850.31,Online Purchase,2NHAVX,Florida,Investigation Started,Resolved in Favor of Customer,7,Human Intervention,4,Very Satisfied,Email
CUS8397,Existing,Checking,Illinois,Gold,78GYG67,Transaction Error,2024-03-07,12,Under Investigation,Low,94288735,2024-05-21,2543.55,Transfer,KCZPJ2,Georgia,Investigation Started,Customer Compensation,21,AI,3,Very Dissatisfied,Email
CUS5052,New,Savings,Washington,Silver,RZRLL3D,Unauthorized Charge,2024-07-21,8,Resolved,High,18483688,2024-11-19,609.76,Withdrawal,UM07TT,New York,Compensation Provided,Partial Refund,27,AI,1,Neutral,Email
CUS1086,New,Checking,Florida,Silver,KGYOUM7,Fraud,2024-03-13,11,Pending,Low,49335243,2024-01-17,2903.4,Cashback,YXN59O,Illinois,Compensation Provided,Resolved in Favor of Customer,8,Human Intervention,1,Dissatisfied,Social Media
CUS8424,Existing,Checking,Texas,Silver,9K6ZQ5L,Service Issue,2024-11-28,3,Pending,High,16595357,2024-02-18,1142.81,Withdrawal,MJXQF9,Illinois,Refund Issued,Partial Refund,13,AI,1,Neutral,Email
CUS9929,Existing,Savings,Texas,Bronze,PX5HFPA,Account Lock,2024-05-22,2,Under Investigation,High,38429300,2024-07-04,1025.92,Deposit,TRSGQQ,Washington,Issue Fixed,Resolved in Favor of Bank,30,Hybrid,4,Dissatisfied,In-Person
CUS3715,New,Savings,Florida,Bronze,0QC1X09,Service Issue,2024-02-21,10,Pending,High,79082280,2024-03-24,708.98,Cashback,N4QMU6,Florida,Refund Issued,Partial Refund,2,Hybrid,3,Very Satisfied,Email
CUS8360,Existing,Savings,California,Silver,S0OUZVA,Billing Error,2024-09-26,11,Under Investigation,Low,62132486,2024-10-07,2191.32,Transfer,D39NE6,Ohio,Issue Fixed,Resolved in Favor of Customer,19,Hybrid,5,Very Dissatisfied,Phone
